target,target,source
Пасьянс Айслериот,,AisleRiot Solitaire
Позволяет играть во множество различных пасьянсов,,Play many different solitaire games
солитер;карты;клондайк;свободная ячейка;пасьянс;,,solitaire;cards;klondike;spider;freecell;patience;
sol.desktop,sol.desktop,sol.desktop
GPL-3.0+ или только GFDL-1.3,GPL-3.0+ ма мацара GFDL-1.3,GPL-3.0+ or GFDL-1.3-only
GPL-3.0+,GPL-3.0+,GPL-3.0+
Пасьянс Айслериот,,Aisleriot Solitaire
"Айслериот (известный также как sol) — это приложение, предлагающее более 80 различных пасьянсов и ориентированное на использование мыши, клавиатуры или трекпада.","Аислериот (sol ҳәа еицырдыруа)- ари аԥшьы ишәыднагалоит  аҳәынаԥи, ырыдыркреи насгьы атрекпади рхархәаразы ахырхарҭа змоу 80 инеиҳаны апасиансқәа.","Aisleriot — also known as sol or solitaire — is a card game application that features over 80 different solitaire-type card games which are designed to play using a mouse, keyboard, or trackpad."
https://wiki.gnome.org/Apps/Aisleriot?action=AttachFile&amp;do=get&amp;target=aisleriot-3.10.png,https://wiki.gnome.org/Apps/Aisleriot?action=AttachFile&amp;do=get&amp;target=aisleriot-3.10.png,https://wiki.gnome.org/Apps/Aisleriot?action=AttachFile&amp;do=get&amp;target=aisleriot-3.10.png
AppMenu,AppMenu,AppMenu
ModernToolkit,ModernToolkit,ModernToolkit
UserDocs,UserDocs,UserDocs
https://wiki.gnome.org/Apps/Aisleriot,https://wiki.gnome.org/Apps/Aisleriot,https://wiki.gnome.org/Apps/Aisleriot
GNOME,GNOME,GNOME
Айслериот,Аислериот,aisleriot
Выбор игры,,Select Game
В_ыбрать,_Алхра,_Select
_Содержание,,_Contents
На _весь экран,_Аекран зегьы иҭаӡо,_Fullscreen
_Подсказка,,_Hint
_Новая игра,,_New
_Новая игра,_Ахәмарра ҿыц,_New Game
_Возвратить,,_Redo Move
_Сброс,,_Reset
_Начать заново,_Аитаҿакра,_Restart
_Отменить,,_Undo Move
С_дать,,_Deal
