498	а вы читали файл справки?	 аилыркаага афаил шәаԥхьозма?
16697	абсолютный путь к корневому каталогу.	 ишьаҭоу акаталог ахь абсолиуттә мҩа.
19061	автоматическая блокировка экрана предотвращает доступ к компьютеру, пока вас нет.	 аекран аҿы автоматикала аекран акомпиутер ахь аиагара аԥырҟәҟәаара иаҿуп, шәара шәаанӡа.
23916	автоматически включает режим энергосбережения используя сервис профилей питания, если батарея разряжена.	 автоматикала аенергиа иаҵанакуа ахархәагақәа рервис ахархәагақәа зегьы рхы иархәаны, батареиа разриад иаҵанакуазар.
27047	автоматически делать отступ для новых строк, копируя отступ предыдущей строки.	 автоматла ацәаҳәа ҿыцқәа рзы ахьаҵ рдулатәуп.
4989	автоматически запускать редактор при нажатии клавиши в окне редактирования сообщения.	 автоматикала аус арутәуп аредактор ацҳамҭа аредакциазураан арыд ақәыӷәӷәараан.
19112	автоматически убирать пустые столы.	 автоматикала иҭацәу аишәа аилыргара.
15142	автоматическое изменение размера дисплеев виртуальных машин в соответствии с размером окна.	 авиртуалтә машьынақәа ашәагаа аԥенџьыр ашәагаа инақәыршәаны, автоматикала рыԥсахра.
20142	администраторы могут добавлять и удалять пользователей, а также изменять настройки всех пользователей.	 администраторцәа ажәлар ацҵареи уи ахархәаҩцәа зегьы ргәазыҟашьеи рыԥсахра алшоит.
3025	адрес домашней страницы пользователя.	 ахархәаҩ иҩнытә даҟьа адрес.
5191	адрес уже существует.	 адрес ыҟоуп.
4969	адресная книга, используемая для хранения автоматически синхронизированных контактов.	 автоматикала синхронлатәи аконтактқәа рыҵәахразы ахархәара змоу адрестә шәҟәы.
253	айслериот предоставляет карточный движок для пасьянсов, который позволяет играть в различные игры.	 аиерриот ари ахәмарра еиуеиԥшым ахәмаррақәа ирылахәхартә алнахуеит.
18007	активная панель часов.	 асааҭ иактиву апанель.
3046	активные элементы очистки данных.	 иактиву ахәҭақәа адырқәа ррыцқьара.
32315	алгоритм сертификата считается небезопасным.	 асертификат афгоритм ишәарҭоуп ҳәа иԥхьаӡоуп.
32742	альбом уже добавлен.	 альбом ацҵахьеит.
38133	архив не может быть назван как.	 архив ахьӡ амоур ҟалоит.
38135	архивы с точкой в начале их имени скрываются.	 ари акәамаҵамақәа рыхьӡ алагамҭазы иҵәахуеит.
680	атакуйте колоду неизвестных карт.	 иҭажәгал идырым ахсаалақәа.
18850	без защиты при запуске устройства.	 адеваис адәықәҵараан.
