source	target
sol.desktop	sol.desktop
GPL-3.0+	GPL-3.0+
Aisleriot — also known as sol or solitaire — is a card game application that features over 80 different solitaire-type card games which are designed to play using a mouse, keyboard, or trackpad.	Аислериот (sol ҳәа еицырдыруа)- ари аԥшьы ишәыднагалоит  аҳәынаԥи, ырыдыркреи насгьы атрекпади рхархәаразы ахырхарҭа змоу 80 инеиҳаны апасиансқәа.
https://wiki.gnome.org/Apps/Aisleriot?action=AttachFile&amp;do=get&amp;target=aisleriot-3.10.png	https://wiki.gnome.org/Apps/Aisleriot?action=AttachFile&amp;do=get&amp;target=aisleriot-3.10.png
AppMenu	AppMenu
ModernToolkit	ModernToolkit
UserDocs	UserDocs
https://wiki.gnome.org/Apps/Aisleriot	https://wiki.gnome.org/Apps/Aisleriot
GNOME	GNOME
aisleriot	Аислериот
Accordion	Аккордеон
Agnes	Агнес
Diamond Mine	Алмастә шахта
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
1	1
AisleRiot	Аислериот
%d	%d
%d%%	%d%%
%d:%02d	%d:%02d
There are no more moves	Аныҟәарақәа рвариантқәа уаҳа ыҟаӡам
AisleRiot provides a rule-based solitaire card engine that allows many different games to be played.	Аиселиот ишәыднагалоит  апасиансқәа рзы амацақәа реиҭагага, еиуеипшым ахәмарракәа рыхәмарразы.
Have you read the help file?	Афаил аилыркаа шәаԥхьахьоума?
Autoplay	Автоматикатә хәмарра
Cantarell	Cantarell
animation	Анимациа
slider	акәараҵа
paragraph	абзац
autocomplete	автоматикла ахарҭәаара
marquee	иҩуа ацәаҳәа
Brasero	Brasero
%.1f× (DVD)	%.1f× (DVD)
%.1f× (CD)	%.1f× (CD)
%.1f× (BD)	%.1f× (BD)
%.1f× (BD) %.1f× (DVD) %.1f× (CD)	%.1f× (BD) %.1f× (DVD) %.1f× (CD)
Autodetect	Ахала аилкаара
_NTSC	_NTSC
_PAL/SECAM	_PAL/SECAM
_4:3	_4:3
_16:9	_16:9
Unnamed CD/DVD Drive	Ихьӡыдоу аусруга  CD/DVD
CD-ROM	CD-ROM
CD-R	CD-R
CD-RW	CD-RW
DVD-ROM	DVD-ROM
DVD-R	DVD-R
DVD-RW	DVD-RW
DVD+R	DVD+R
DVD+RW	DVD+RW
DVD+R dual layer	DVD+R DL
DVD+RW dual layer	DVD+RW DL
DVD-RAM	DVD-RAM
%s in %s	%s в %s
%s: %s	%s: %s
%s:%s:%s	%s:%s:%s
%s:%s	%s:%s
Outrange address	Аҭыӡҭыԥ аҳәаақәа ирҭыҵоит
MD5	MD5
SHA1	SHA1
SHA256	SHA256
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
Artist	Анагӡаҩцәа
_Show Side Panel	_Аваратәи апанель
<Keep current values>	<Иҟоу аҵакы аиқәырхара>
Artist:	Анагӡаҩ
%i × %i pixels	%i × %i пиксельк
Copyright %s	Аԥҵаҩцәа рзинқәа %s
Ac_tivate All	З_егьы рҿакра
%s / %s	%s / %s
:	:
[URI] [URI] …	[URI] [URI] …
Cheese	Cheese
%02i:%02i:%02i	%02i:%02i:%02i
%d×%d	%d×%d
Address	Аҭыӡҭыԥ
Ctrl + Alt + Backspace	Ctrl + Alt + Backspace
Ctrl + Alt + Del	Ctrl + Alt + Del
Ctrl + Alt + F1	Ctrl + Alt + F1
Ctrl + Alt + F2	Ctrl + Alt + F2
Ctrl + Alt + F3	Ctrl + Alt + F3
Ctrl + Alt + F7	Ctrl + Alt + F7
Enable audio	Абжьы аҿакра
command;prompt;cmd;commandline;run;shell;terminal;kgx;kings cross;	command;prompt;cmd;commandline;run;shell;terminal;kgx;kings cross;
Zander Brown	Zander Brown
© %s Zander Brown	© %s Zander Brown
[-e|-- COMMAND [ARGUMENT...]]	[-e|-- АДҴА [АҴАҴӶӘЫ...]]
<b>Read Only</b> — Command exited with code %i	<b>Аԥхьара мацаразы</b> —  Адҵа хырқәшоуп акод %i ала
<b>Read Only</b> — Command exited	<b>Аԥхьара мацаразы</b> —  Адҵа хырқәшоуп
<b>Failed to start</b> — %s	<b>Алагара залымшахеит</b> — %s
translator-credits	Aleksandr Melman <alexmelman88@gmail.com>, 2022
Credits	 Аҭабурақәа
Creators	Аԥҵаҩцәа
Robert Ancell	Robert Ancell
Arnaud Bonatti	Arnaud Bonatti
Copyright © 2010-2014 – Canonical Ltd	Аԥҵаҩы изин © 2010-2014 – Canonical Ltd
Copyright © 2017-2018 – Davi da Silva Böger	Аԥҵаҩы изин © 2017-2018 – Davi da Silva Böger
Copyright © %u-%u – Arnaud Bonatti	Аԥҵаҩы изин © %u-%u – Arnaud Bonatti
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
%s%s	%s%s
Yes	Ааи
Devhelp	Devhelp
Forward	Ԥхьаҟа
Go forward	Ԥхьаҟа
S_ide Pane	А_варатәи апанель
<b>%f:</b> original filename	<b>%f:</b> афаил ахалагаратә ахьӡ
<b>%n:</b> counter	<b>%n:</b> аԥхьаӡага
To:	аҟны:
_Automatic orientation	_Автоматикатә хырхарҭа 
ISO	ISO
Date	Аамҭарба
Automatic orientation	Автоматикатә хырхарҭа
Active plugins	Иактиву амодульқәа
%s (*.%s)	%s (*.%s)
XMP Exif	XMP Exif
XMP IPTC	XMP IPTC
%X	%X
%d / %d	%d / %d
_Yes	_Ааи
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
%d%%	%d%%
Address of the user’s home page.	ахархәаҩ иҩнытә даҟьа аҭыӡҭыԥ
[{'name': <'DuckDuckGo'>, 'url': <'https://duckduckgo.com/?q=%s&t=epiphany'>, 'bang': <'!ddg'>},{'name': <'Google'>, 'url': <'https://www.google.com/search?q=%s'>, 'bang': <'!g'>},{'name': <'Bing'>, 'url': <'https://www.bing.com/search?q=%s'>, 'bang': <'!b'>}]	[{'name': <'DuckDuckGo'>, 'url': <'https://duckduckgo.com/?q=%s&t=epiphany'>, 'bang': <'!ddg'>},{'name': <'Google'>, 'url': <'https://www.google.com/search?q=%s'>, 'bang': <'!g'>},{'name': <'Bing'>, 'url': <'https://www.bing.com/search?q=%s'>, 'bang': <'!b'>}]
Active clear data items.	Иактиву   ахәҭақәа адыррақәа ррыцқьаразы
User agent	User agent
Enable adblock	Adblock аҿакра
Enable safe browsing	Ишәарҭам ахәаԥшра аҿакра
Whether to enable safe browsing. Safe browsing operates via Google Safe Browsing API v4.	Ишәарҭам ахәаԥшра аҿакра.Ишәарҭам арежим аус ауеит  Google Safe Browsing API v4 ацхыраарала.
Enable Intelligent Tracking Prevention (ITP)	Интелектуалла ашьҭаԥшра аҽацәыхьчара аҿакра (ITP)
Enable autosearch	Автоматикла аԥшаара аҿакра
Enable WebExtensions	веб-ахкырба аҿакра
Active WebExtensions	Иактиву веб-аҭбаара
URL to a custom Firefox Sync token server.	URL- аҭыӡҭыԥ  ахархәагатә сервер атокенқәа  Firefox Sync
Firefox Sync Accounts Server URL	Firefox Sync Accounts Server URL
URL to a custom Firefox Sync accounts server.	URL- аҭыӡҭыԥ  аҳасабырбатә нҵамҭақәа рхархәагатә сервер Firefox Sync.
The email linked to the Firefox Account used to sync data with Mozilla’s servers.	Аел .ԥошьҭа аҭыӡҭыԥ , аҳасабырбатә нҵамҭа Firefox иаҿаԥшьу, ахархәара зауо адыррақәеи  асерверқәа Mozilla  асинхронркра рзуразы.
ESC	ESC
F11	F11
, “%s”	, “%s”
Arabic (_IBM-864)	Арабтәи (_IBM-864)
Arabic (ISO-_8859-6)	Арабтәи (ISO-_8859-6)
Arabic (_MacArabic)	Арабтәи (_MacArabic)
Arabic (_Windows-1256)	Арабтәи (_Windows-1256)
Baltic (_ISO-8859-13)	Абалтикатә (_ISO-8859-13)
Baltic (I_SO-8859-4)	Абалтикатә (I_SO-8859-4)
Baltic (_Windows-1257)	Абалтикатә (_Windows-1257)
_Armenian (ARMSCII-8)	_Аермантә (ARMSCII-8)
R	R
https://duckduckgo.com/?q=%s&amp;t=epiphany	https://duckduckgo.com/?q=%s&amp;t=epiphany
%a %I∶%M %p	%a, %I∶%M %p
%b %d %I∶%M %p	%e %b., %I∶%M %p
Media autoplay	Амультимедиа автоматикла аиҭарҿиара 
URL …	URL …
Author	Аԥҵаҩы
_Forward	_Ԥхьаҟа
_Yes	_Ааи
Address must start with either http:// or https://	Аҭыӡҭыԥ алагозароуп http:// мамзар https:// рыла
Address must contain the search term represented by %s	Аҭыӡҭыԥқәа ирымазароуп апшаага адҵаалара, иаарԥшу %s ала
Address should not contain the search term several times	Аҭыӡҭыԥ аԥшаара адҵааларакәа пыҭк амазар ҟалаӡом
Address is not a valid URI	Иԥаршеиу аҭыӡҭыԥ URI
Address is not a valid URL. The address should look like https://www.example.com/search?q=%s	Иԥаршеиу аҭыӡҭыԥ URL. Аҭыӡҭыԥ  https://www.example.com/search?q=%s еиԥшзароуп
_Address	_Аҭыӡҭыԥ
Web Safety	Ашәарҭадара аинтернет аҟны
Address	Аҭыӡҭыԥ
URL	URL
Firefox	Firefox
Chrome	Chrome
Chromium	Chromium
bookmarks.html	bookmarks.html
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
HTML	HTML
MHTML	MHTML
PNG	PNG
Yes	Ааи
Type 1	Type 1
Type 1C	Type 1C
Type 3	Type 3
TrueType	TrueType
Type 1 (CID)	Type 1 (CID)
Type 1C (CID)	Type 1C (CID)
TrueType (CID)	TrueType (CID)
Automatically reload the document	Адокумент автоматикла аиҭаҿакра
Auto Rotate and Center	Автоматикла аргьежьреи агәҭеиҿкаареи
Evince	Evince
Author:	Аԥҵаҩы:
Security:	Ашәарҭадара:
default:mm	default:mm
%.0f × %.0f mm	%.0f × %.0f мм
%.2f × %.2f inch	%.2f × %.2f диуим
Paragraph	Абзац
_Automatic	_Автоматикла
_Next Page	_Ԥхьаҟа
Forward	Ԥхьаҟа
Side pane	Аваратәи апанель
© 1996–2022 The Evince document viewer authors	© 1996-2022 Адокуметқәа Evince рыхәаԥшыга аԥҵаҩцәа 
50%	50%
70%	70%
85%	85%
100%	100%
125%	125%
150%	150%
175%	175%
200%	200%
300%	300%
400%	400%
800%	800%
1600%	1600%
3200%	3200%
6400%	6400%
Automatic zoom	Автоматикатә масштаб
Enable desktop notifications	Абжьытә _дырраҭарақәа рҿакра
Enable audio notifications	Абжьытә _дырраҭарақәа рҿакра
Automatic link recognition	Автоматикла гиперазхьарԥшқәа  реҩдыраара
Automatic emoticon recognition	Автоматикла аемоциақәа реҩдыраара
Automatically enable PGP or S/MIME signatures when replying to a message which is also PGP or S/MIME signed.	Автоматла анапаҵыҩрақәа GP мамзар S/MIME рҿакра, ацҳамҭа анапаҵыҩра GP мамзар S/MIME змоу рҭак аҟаҵараан
Enable animated images in HTML mail. Many users find animated images annoying and prefer to see a static image instead.	HTML ацҳамҭақәа  рҟны аԥшранҵақәа анимациаркра аҿакра.Имаҷымкәа ахархәаҩцәа ианимациарку аԥшранҵақәа рыԥсахы еибадыркуеит, урҭ рцымхәрас рхы иадырхәоит астатикатә ԥшранҵақәа.
Enable or disable type ahead search feature	Аҭагалараан аԥшаара афункциа аҿакра, мамзар аҿыхра
Enable or disable magic space bar	Анашанара абжьажь' аҿакра , мамзар аҿыхра
Enable to use the same search settings for all folders	Аҭаӡқәа зегь рзы еиԥшу ахышәарақәа ахархәара рыҭара аҿакра
Automatically load images for HTML messages over HTTP	Автоматикла аԥшранҵақәа рҭагалара ацҳамҭақәа HTML аформат змоу рзы 
Address book to use for storing automatically synced contacts.	Аҭыӡҭыԥтә шәҟәы автоматикла асинхронизациа зызу аимадарақәа реиқәырхаразы
Auto sync Pidgin contacts	 Pidgin аимадарақәа автоматикла асинронтәра рзура
Enable autocontacts	Автоматикатә еимадарақәа рҿакра
Address book to use for storing automatically synced contacts from Pidgin.	Аҭыӡҭыԥтә шәҟәы Pidgin асинхронизациа зызу аимадарақәа реиқәырхаразы
