source	target
{0}  If you choose to continue, you may not have access to some of your old data. 	Иацышәҵар шәҭахызар, ажәытә дыррақәа ԥыҭк  рахь  анеира азин шәцәыӡыр шәылшоит
%1$s   <small>%2$s</small>	%1$s   <small>%2$s</small>
© 2011 Red Hat, Inc. © 2011-2020 The Contacts Developers	© 2011 Red Hat, Inc. © 2011-2020 Аимадарақәа рыҟаҵаҩцәа
© 2018-2020 Juan Pablo Ugarte, et al. © 2004-2018 Tristan Van Berkom, Juan Pablo Ugarte, et al. © 2001-2006 Joaquin Cuenca Abela, Paolo Borelli, et al. © 2001-2006 Ximian, Inc.	© 2018-2020 Хуан Пабло Угарте (Juan Pablo Ugarte) уб.егь. © 2004-2018 Тристан Ван Берком (Tristan Van Berkom), Хуан Пабло Угарте (Juan Pablo Ugarte) уб.егь. © 2001-2006 Joaquin Cuenca Abela, Paolo Borelli, уб.егь. © 2001-2006 Ximian, Inc.
3 × 3 1 minute	3 × 3        1 минуҭк
%.3f atm	%.3f атм
4 × 4 3 minutes	4 × 4        3 минуҭк
4 × 4 5 minutes	4 × 4        5 минуҭк
5 × 5 15 minutes	5 × 5        15 минуҭ
5 × 5 5 minutes	5 × 5        5 минуҭк
Abandon this game to start a new one?	Ари ахәмарра кажьны аҿыц шәалагар шәҭахума?
%A %B %-d	%A, %-d %B
%A, %B %e	%A, %e %b
%A, %B %e %H:%M	%A, %e %b. %H:%M
%A, %B %e %H:%M:%S	%A, %e %b. %H:%M:%S
%A, %B %e %l:%M %p	%A, %e %b. %I:%M:%p
%A, %B %e %l:%M:%S %p	%A, %e %b. %I:%M:%S %p
%a %b %-e_%R	%a, %-e %B_%R
%a %b %-e_%R:%S	%a, %-e %B_%R:%S
%A %B %e %Y	%A, %-d %B %Y
%A, %B %e, %Y	%A, %e %b. %Y
%A, %B %e, %Y %H:%M	%A, %e %b. %Y %H:%M
%A, %B %e, %Y %H:%M:%S	%A, %e %b. %Y %H:%M:%S
%A, %B %e, %Y %l:%M %p	%A, %e %b. %Y %I:%M %p
%A, %B %e, %Y %l:%M:%S %p	%A, %e %b. %Y %I:%M:%S %p
abstract	ахҳәаа
A bytestring, type ‘ay’	Абаиттә цәаҳәа, ахкы 'ay'
A byte (unsigned), type ‘y’	баитк (дыргада), ахкы 'y'
Achromatomaly (blue cone monochromacy)	Ахроматомалиа (аԥштәы агәынкылара ацәыӡра ииаҵәоу аколбахәыҷқәа рыла)
Achromatopsia (monochromacy)	Ахроматопсиа ( аԥштәы агәынкылара ацәыӡра)
Achum	Ачум
Action Attributes	Аҟаҵара аҟазшьарбагақәа
Active	Иаҿакуп
%a %d %b	%a, %d %b
%A %d %B	%A, %d %b
%a %d %b %Y	%a, %d %b. %Y
%a, %d %B %Y	%A, %d %b. %Y
%A %d %b %Y	%A, %d %b. %Y
%a, %d %B %Y  %X	%A, %d %b. %Y  %X
Afghanistan	Афганистан
Agnes	Агнэс
%a %H∶%M	%a, %H:%M
Ahom	Ахом
Ahoskie	Ахоски
Airplane Mode On	Авиарежим аҿакуп
AisleRiot web site	Веб-асаит Аислериот
Alaska	Алиаска
All day:	Амш зегьы:
All Day	Амш зегьы
_All files	_Афаилқәа зегьы
All files	Афаилқәа зегьы
All Files	Афаилқәа зегьы
All Files (*)	Афаилқәа зегьы(*)
All Glade Files	Афаилқәа зегьы Glade
All PKCS12 files	Афаилқәа зегьы  PKCS12
All _Upper Case	Хыхьтәи_арегистр ахь
_All	_Зегьы
All	Зегьы
%a %l∶%M %p	%a %H:%M
Altitude	Аҳаракыра
Always	Еснагь
Amapá / East Pará	Амапа / Амрагыларатә Пара
Amapala	Амапала
Amapá	Амапа
Amarillo	Амарилло
Amazonas	Амазонас
Ambler	Амблер
%a %m/%d/%Y %H:%M:%S	%a, %d.%m.%Y %H:%M:%S
%a %m/%d/%Y %I:%M:%S %p	%a, %d.%m.%Y %I:%M:%S %p
American Samoa	Америкатә Самоа
Amharic (EZ+)	Амхартәи (EZ+)
Amiens	Амьен
Ami	Ами
Amplitude of heads trembling (GMR-head) in running mode	Ахы(GMR-ахы) аҵысҵысра амплитуда еиҭаҵуа арежим  аҟны
Anadyr'	Анадырь
Anaheim	Анахаим
Anaktuvuk Pass	Анкчувек Пасс
Analysing audio files	Абжьтәы фаилқәа ранализ
Analysing files	Афаилқәа ранализ
Analysing "%s"	Анализ «%s»
Analysing track %02i	Абжьымҩахәасҭа анализ  %02i
Analysing video files	Авидеонҵамҭа анализ
Analyze	Анализҟаҵара
Anapa	Анапа
Anápolis	Анаполис
an arabic factorial symbol	Арабтә символ факториал
An archive cannot be called “..”.	Архив иамазар ҟалаӡом хьӡыс«..».
An archive cannot be called “.”.	Архив иамазар ҟалаӡом хьӡыс «.».
Anatol Drlicek	Анатоль Дрличек (Anatol Drlicek)
Anatolian Hieroglyphs	Анатолиатә иероглифқәа
An audio or video stream is not handled due to missing codecs. You might need to install additional plugins to be able to play some types of movies	Аудио- мамзара авидео еишьҭаҵа анаԥхгара амаӡам акодекқәа рыҟымзаара иахҟьаны.Иҟалап, афильмқәа рыхкқәа рҿакразы ишьақәыргылатәуп иацу амодульқәа.
An automatically saved version of `%s' is more recent.  Would you like to load the autosave version instead?	Автоматикла еиқәырхоу аверсиа "%s"  еиҳа иҿыцуп. Ишәҭахума шәара иара ацынхәрас автоматикла аиқәырхара змоу аверсиа ҭажәгалар. 
Anchorage	Анкоридж
Ancona	Анкона
Andravída	Андравида
Andrews	Андриус
Andria	Андриа
and	амперсанд
A newer file with the same name already exists in “%s”.	Еиҳа иҿыцу афаил ари аҩыза ахьӡ змоу ыҟоуп «%s» аҟны
A newer folder with the same name already exists in “%s”.	Еиҳа иҿыцу аҭаӡ ари аҩыза ахьӡ змоу ыҟоуп «%s» аҟны
Angeles	Анжелес
Ängelholm	Ангехольм
Ange_l	_Амаалықь
Angle Inlet	Англе-Инлет
Angleton	Англетон
Angola	Ангола
Anhui	Аньхои
Aniak	Аниак
Animism	Анимизм
Ankara	Анкара
Ankarena	Анкарена
Ankeny	Анкени
Annaba	Аннаба
Annapolis	Аннаполис
Ann Arbor	Анн-Арбор
Annette	Аннетт
Anniston	Аннистон
An older file with the same name already exists in “%s”.	Еиҳа иажәу афаил ари аҩыза ахьӡ змоу ыҟоуп «%s» аҟны
An older folder with the same name already exists in “%s”.	Еиҳа иажәу аҭаӡ ари аҩыза ахьӡ змоу ыҟоуп «%s» аҟны
Anonymous access denied	Ахьӡыдоу аҭалара мап ацәкуп
Anony_mous identity	И_хьӡыдоу ахаҭареилкаара
anonymous	ихьӡыдоу
Anonymous	Ихьӡыдоу
Áno Síros	Ано-Сирос
Antakya	Антакьиа
Antalya	Анталиа
Antananarivo	Антананариво
Antarctica/Casey	Антарктида/Кеиси
Antarctica	Антарктида
Antarctica	Антарктика
Antigo	Антиго
Antigua and Barbuda	Антигуеи Барбудеи
antique white	антикатә ашкәакәа
Antofagasta	Антофагаста
Antsiranana	Антисарана
An unsigned long integer, type ‘t’	Адырга змам идуу еибгоу ахыԥхьаӡара, ахкы 't'
Anvik	Анвик
Anything	Зегьы
Any time	аамҭарбада
Aomori	Аомори
Aosta	Аоста
Apache 2.0	GPL 2.0
Apache License, Version 2.0	Apache License, Аверсиа 2.1
Apalachicola	Апаличикола
Aperture	Апертура
Apia	Апиа
apostrophe	аиҟәыҭхага
App Chooser Button Attributes	Апшьы алхра апытҟәыр аҟазшьарбагақәа
A_ppearance	_Аԥшра
Appearance	Аԥшра
Appleton	Аплтон
April	Мшаԥымза
Apr	Мшаԥ
Arabic Grade 1	Арабтә аҩаӡара
Arabic	Арабтә
Aracaju	Аракаиу
Arad	Арад
%a %R	%a, %R
'Ar'ar	Арар
Áraxos	Арахос
Àrbatax	Арбатакс
Arcade	Аркадақәа
Arcata	Арката
Archi_ve Folder:	Архив_тә ҭаӡ:
Archive is encrypted	Архив шифрркуп
Archive Mail	Аԥошьҭа архивтәра
Archive selected directories using this format:	Иалху аҭаӡқәа ари аформат алхны архивтәра :
Archive this folder using these settings:	Уажәтәи аҭаӡ архивтәра абарҭ архиаракәа шәхы иархәаны:
Archive	Архив
ARCHIVE	АРХИВ
_Archive…	_Архивтәра...
Arctic/Longyearbyen	Арктика/Лонгир
Arctic Village	Арктик Виллидж
Ardabil	Ардебиль
Ardmore	Ардмор
Arequipa	Арекипа
Are you sure you want to convert the event into a message?	Шәара агәра ганы шәыҟоума ахҭыс ацҳамҭа ахь еиҭашәкыр шышәҭаху?
Are you sure you want to convert the memo into a message?	Шәара агәра ганы шәыҟоума азгәаҭа ацҳамҭа ахь еиҭашәкыр шышәҭаху?
Are you sure you want to convert the message into a meeting?	Шәара агәра ганы шәыҟоума ацҳамҭа аизара  ахь еиҭашәкыр шышәҭаху?
Are you sure you want to convert the task into a message?	Шәара агәра ганы шәыҟоума аҳасабтә ацҳамҭа ахь еиҭашәкыр шышәҭаху?
Are you sure you want to discard the message, titled “{0}”, you are composing?	Аус здыжәуло ацҳамҭа «{0}» анышәхыр шышәҭаху агәра ганы шәыҟоума?
Are you sure you want to discard the message you are composing?	Аус здыжәуло ацҳамҭа анышәхыр шышәҭаху агәра ганы шәыҟоума?
Arezzo	Ареццо
Argostólion	Аргостолион
[ARGS…]	[АҴАҴӶӘҚӘА…]
Argument not defined for zero	Аҵаҵӷәы арбаӡам ноль азы
_Arguments:	_Аҵаҵӷәқәа:
Arguments	Аҵаҵӷәқәа
Arguments: 	Аҵаҵӷәқәа:
Argument to “%s” is not a valid command: %s	Аҵаҵӷәы «%s» азы изин змоу  дҵаӡам : %s
Argument used to execute programs in the terminal defined by the “exec” key. DEPRECATED: This key is deprecated and ignored. The default terminal and how to invoke it is handled in GIO.	Аҵаҵӷәы, ахархәара змоу апрограммақәа атерминал арыд  "exec" ала иарбахо рыҟаҵаразы.ИАЖӘХЬОУ:ари ацаԥха ажәит,насгьы азхьаԥшра амаӡам.Атерминал ишыҟоу еиԥш, насгьы ааԥхьаршьа аус адулахоит GIO аҟны.
Arica	Арика
Arizona	Аризона
Arkadelphia	Аркадельфиа
Arkansas	Арканзас
Arkhangel'sk	Архангельск
Arlington	Арлингтон
Armenia	Ермантәыла
Armilla	Армилла
Ar Ruqayyiqah	Ар Рувкаииквах
%a %R:%S	%a, %R:%S
Artesia	Артижа
As check _pattern	Ахацтә _дәы аԥшра аҭаны
Ascoli Piceno	Асколи Пичено
Aspen	Аспен
Assiniboia	Ассинибоиа
Astana	Астана
Asti	Асти
Astoria	Асториа
Astrakhan'	Астрахань
Astronomical Units	Астрономиатә акака
Astronomy	Астрономиа
Asunción	Асуньсон
Aswan	Асуан
asymptotically equal to	асимптотикала иҟалоит
Asyut	Асиут
'Ataq	Атак
Athena	Афина
Athens	Афинақәа
Athlone	Атлон
Atlanta	Атланта
Atlantic/Azores	Атлантика/Азоры
Atlantic/Bermuda	Атлантика/Бермудақәа
Atlantic/Canary	Атлантика/Канарақәа
Atlantic/Cape_Verde	Атлантика/Кеип Верде
Atlantic City	Атлантик-Сити
Atlantic/Faeroe	Атлантика/Фаеро
Atlantic/Jan_Mayen	Атлантикатә океан/о-в Иан-Маиен
Atlantic/Madeira	Атлантика/Мадера
Atlantic/Reykjavik	Атлантика/Реикиавик
Atlantic/South_Georgia	Атлантикатә океан/о-в Аладатәи Георгиа
Atlantic/Stanley	Атлантикатә океан/Стенли
Atlantic/St_Helena	Атлантика/Св.Елена
Atlantic Time, no DST (Eastern Quebec)	Атлантикатә аамҭа, апхынтәи ада (мрагыларатәи Квебек)
Atlantic Time	Атлантикатә аамҭа
Atlantic	Атлантик
Atlantic	Атлантика
Atogo	Атого
Atoka	Атока
['attachment','attaching','attached','enclosed']	['аттач','аҭаҵа','attachment','attaching','attached','enclosed']
Attack a face-down pile.	Идырым амацеизга шәажәла
Attackers on %s may trick you into doing something dangerous like installing software or revealing your personal information (for example, passwords, phone numbers, or credit cards).	Ижәыло %s шәыржьар ҟалоит, насгьы ишәыдыргалар ишәарҭоу акы аҟаҵара, иаҳҳәап апрограмма ақәыргылара, мамзар шәхатәы дыррақәа раарԥшра(Иаҳҳәап ажәамаӡа, аҭел аномер, мамзар акредиттә хсаала)
At Ta'if	Ат-Таиф
Attribute not specified	Аҟазшьарбага "%s" еилкааӡам
Attribute "%s" is invalid on <%s> element in this context	Аҟазшьарбага "%s" гхоуп <%s> аелемент аҟны ари аконтекст ала
Attribute "%s" repeated twice on the same <%s> element	Аҟазшьарбага "%s" ҩынтәны  еиҭаҟалеит ахәҭа <%s> аҟны
attributes: 	Аҟазшьарбагақәа:
ATTRIBUTES	АҞАЗШЬАРБАГАҚӘА
Attributes	Аҟашьарбагақәа
Atyrau	Атырау
Audio CD	Аудио CD
Audio DVD	DVD-Audio
Audio Output	Аудиоҭыҵра
Audio Player	Аудиорҳәага
Audio Track	Аудио амҩахәасҭа
Audio/Video	Аудио/авидио
Audio	Аудио
Auditable code	Аудио ззыруа акод
Augsburg	Аугсбург
Aurangabad	Аурангабад
Aurillac	Ауриллак
Authenticated	Зхаҭареилкаау
Authenticate proxy server connections	Апрокси-сервер ахь аҿакрақәа рхаҭареилкаара 
A_uthenticate	А_хаҭареилкаара
Authentication dialog was dismissed by the user	Ахаҭареилкаара ахархәаҩ ила мап ацәкын
Authentication failed: %s	Ахаҭареилкаара мҩаԥымсӡеит: %s
Authentication Failed	Ахаҭареилкаара иманшәаламкәа имҩаԥысит
Au_thentication	А_хаҭареилкаара
Authentication	Ахаҭареилкаара
Automatically save the project to an alternate file whenever the project is modified and the specified timeout elapses	Автоматикла апроект даҽа фаилк ахь лассы-лассы аиқәырхара  , апроект аԥсахраангьы. 
Available	Аҳа аҿы
A “vardict”, type ‘a{sv}’	"Авердикт ", ахкы  'a{sv}'
A variant, type ‘v’	Авариант, ахкы 'v'
A variation on poker with dice and less money.	Апокер  аҟамаҭелқәеи аԥарақәеи рыла ахәмарр ахкы.
a vertical strike	Гәҵәыла  аҵәаӷәара
Bacău	Бакау
Bad Axe	Бед-Акс
Bahia	Баиа
Bahraini Dinar	Бахреинтәи адинар
Bahrain	Бахреин
Baia Mare	Баиа-Маре
Baie-Comeau	Баи-Комиу
Baie-de-la-Trinité	Баи-дела-Тринити
Baie-Sainte-Catherine	Баи-Саинт-Катрин
Bainbridge	Баинбридж
Baja California Sur	Баиа Калифорниа Сур
Baja California	Баиа Калифорниа
Baku	Баку
Baldonnel	Балдоннел
Balinese	Балиатә
Balmaceda	Балмаседа
Balneário Camboriú	Балнеариу-Камбориу
Bamboo	Бамбу
Bamum	Бамум
Bancroft	Бенкрофт
Bandirma	Бандирма
Banff	Бенф
Banja Luka	Баниа-Лука
banner	абаннер
Baraboo	Бар-Харбор
Barahona	Барахона
Barajas	Барахас
Barbacena	Барбацена
Barbados	Барбадос
Barcelona	Барселона
Bar Harbor	Бар-Харбор
Barinas	Баринас
Bari	Бари
Barletta	Барретта
Barnaul	Барнаул
Barquisimeto	Баркисимето
Barra do Garças	Барра-до-Гарцас
Barranquilla	Барранкилиа
Barretts	Барретс
Barre	Барр
Barrow	Барроу
Bartlesville	Бартлсвилль
Bartow	Бартоу
Baseline	Абазатә цәаҳәа
Baseline:	Абазатә цәаҳәа:
Baseline	Абазатә цәаҳәақәа
Basel	Базель
Basename of the default keybinding theme used by gtk+.	 gtk+ ахархәара змоу, арыдқәа ишыҟоу еиԥш рыдҳәаларҭа атема абазатә хьӡы.
Basename of the default theme used by gtk+.	Ишыҟоу еиԥш gtk+ ахархәара змоу атема  абазатә хьӡы
base	абазатә
Basic Protection	Абазатә ҽацәыхьчара
Basic Security Protections	Абазатә ашәарҭадаратә уснагӡатәқәа
Basic	Абазатә
Basseterre	Бастер
Basse-Terre	Бас-Тер
