иҳәеит  ауаҩы	сказал человек
ашышкамс чарыцк намҵаиршәит	бросил муравью  зерно пшеницы
Шықәсык ниасит	Прошел год
акәалаԥ ааиртит	он открыл коробочку
ашышкамс чарыцбжак ауп иафаз.	муравей съел  только ползерна.
– дҵааит ауаҩы. 	– спросил человек.
Сан 	Моя мать
ишуасҳәаз еиҧш	как я уже говорил тебе
даԥсыуа ҭыԥҳан	была абхазкой
Ҵабалтәи Шаҭаа ирылҵыз 	из Цебельды, из рода Шат-Ипа
Санхәыҷыз	Когда я был маленьким 
саныҩеидас	когда я стал подростком
саншьцәа	Братья моей мамы 
Ара сырзыӡырҩуан Нарҭаа рлакәқәа	Здесь я слушал сказания о нартах
Абрыскьыл фырхаҵа иажәабжьи	И сказание о герое Абрскиле 
уара иуҳәо ииашаҵәҟьазаргьы, сара сзы иҵабыргым.	даже если то, что  ты говоришь правда, для меня это неправда.
зегьакоуп	все равно
ацәажәара иаҿын 	 разговаривали
узеилкаама уара?	Ты понял ?
Иара	Он
аӡыршьҭра	Русло 
ианааҭабо	Когда засохнет 
усҟан	Тогда 
абжьгьы	И звук 
урымҵагылазар	Если ты стоишь под ними 
иумаҳаӡеи урҭ еибырҳәоз?	Ты не услышал о чем они говорили? 
Зышықәсан 	в тот год
аӡын гәҭаны 	в середине зимы
ара	Здесь 
аԥсаатәқәа	Птицы 
Иумаҳаӡеи, нас, рашәақәа зларҳәо рыбызшәа?	Разве не услышал ты язык их, которым они поют свои песни? 
Maп, дад Шәарах	Нет,дорогой Шарах
уара угәы ишаанаго еиԥш	как тебе кажется
ус иаармариан абызшәа бжьаӡуам	язык не умирает так просто
избанзар	потому что
иҭаҵәахуп	Спрятаны 
уи адагьы	Кроме этого 
ауаҩ	Человек 
ибз анҵәамҭаҿы	На кончике его языка 
Аӡы, адгьыл, ахаҳәқәа	Вода, земля, камни
Сызхылҵыз нхацәан.	Мои предки  были крестьянами.
Сабду сихьӡаанӡа дыԥсхьан	Мой дед умер до моего рождения 
дыҟан	Был 
исарҳәон	мне рассказывали
аамсҭак иҿы	у дворянина
убри алагьы иҭаацәа ныҟәигон	И этим кормил семью 
Саб, Ҳамырза, адгьылқәаарыхра напаиркит. 	мой отец, Хамирза, стал земледельцем.
Ааишьа заҵәык хаҵа дцахьан	только Айша была замужем 
 Шьхагәара ҳаман	У нас были улья 
Аџьықәреи	Кукуруза 
ацхеи ацәеи	мед и воск
 џьыкаки, сапынки, ашәақьхәшәи ааҳхәон. 	покупали  соль, мыло,  порох.
Аарҩареи аӡысаамҭеи аныҟаз	Когда бывала засуха и сильные дожди 
саби сареи, сашьаеиҵбы Мата аҩны дааныжьны	Я и отец, оставив моего младшего брата Мату дома
Шәача аӡиас аԥсҭахьы шыцԥҟара ҳҩаскьалон.	уходили по реке Сочи вверх по течению рубить самшит. 
аамсҭцәа рыхшара ааӡара анхацәа иргон.	крестьяне брали на воспитание детей из дворянского рода.
иара	Он
ҳара	Мы 
аҭаацәа	Семья 
ҳадагьы	Кроме нас 
зегьы	Все 
хәыԥҳас дрыԥхьаӡон.	Считали его молочным братом. 
Иман адгьыл	У него была земля
Абна 	Лес
иара убас	Также
акакан, ацха, аҩы	орехи, мед, вино
дасу илшоз. 	кто что мог.
Аублаатәи аамсҭа зегь раԥхьаӡагьы – деибашьҩын. 	Убыхский дворянин в первую очередь - был воином.  
иахьеи уахеи 	днем и ночью 
иҽи	Его конь 
икәадыри	Его седло 
иабџьар	Его оружие
 Аҩны иман  амаҵуцәа.	дома у него были  слуги. 
Саб Ҳамырза 	Мой отец Хамирза
Зны-зынла сылацәа анаахызҩалак 	Иногда, когда закрываю глаза
саԥхьа	Передо мной 
Аукы, лыхцәы хьаԥшшәыла. 	высокая, волосы ее каштанового цвета.  
 Аха ҳаԥхьа ишьҭазаарын алахьынҵа еиқәаҵәа.	Но впереди нас ждала страшная судьба.
Ақәылара	Набег 
ҳцахьан	Ходили 
Ҩынтә-хынтә	Два-три раза 
Ааи, дад Шәарах, уи аамҭа цәгьан!	Да, дорогой Шарах, это было тяжелое время!
Уи аԥсы иабаихәарҭоу.	мертвому это чем поможет.
Ус акәӡами	Не так ли 
сара сажәымҭагьы 	И моя старость 
 Сабгьы, сашьагьы, саргьы абџьар шьҭаҳхит	И отец, и брат, и я взялись за оружие
џьара	Где-то 
аҵыхәтәанынӡагьы	И до конца 
Аҵабырг ҳҳәозар	Если  сказать правду
Аублаатәылан ахаангьы ҭынчрамызт. 	в стране убыхов никогда не было спокойствия.  
ииҳәоз	То, что он говорил 
даамсҭаз	Пусть дворянин 
дынхаҩыз	дынхаҩыз
аибашьцәа зегьы рзы изакәанын. 	Для всех воинов было законом. 
иԥиҵәон аҿҳәара	он назначал срок
абыкь	Труба 
абжьы	Звук
ҲАЏЬЫ БЫРЗЫҚЬ КЬАРАНТЫХӘ	Хаджи Берзек Керантух
Аублаақәа  драԥгылан  Ҳаџьы Адагәа-иԥа	Хаджи Берзек, сын Адагвы, был предводителем убыхов. 
аха чарҳәаҩык иара изыҳәан дҟамлеит.	Однако ни одного изменника  не было. 
Ашьҭахь, ихатә гәаԥхарала уи ишьҭеиҵеит аублаа жәлар рԥызара.	И в конце он сложил с себя обязанности руководителя убыхов по собственной воле.
аимакра	Спор 
аибашьра ду аԥхьа аҳәынҭқар иеинралцәа дырнаалеит	 до войны он помирился с генералами царя
ауалафахәгьы ирҭеит. 	И зарплату дали. 
ачынгьы	И чин
аублаақәа ҳлахьынҵа усҵәҟьа имитәымхаргьы.	может бы судьба убыхов не была бы такой кошмарной. 
ҳара	Мы 
аибашьра	Война 
издыруада	Кто знает 
Ақыҭақәа рҿы 	В деревнях 
амулацәа	Муллы
 ҳара ҳашәзааит наӡаӡа	мы пришли к вам навсегда
шәышьхақәа 	ваши горы
